slide_no	decision	memo
1	adopt	
2	adopt	
3	adopt	
4	adopt	
5	adopt	
6	adopt	
7	adopt	
8	adopt	
9	adopt	
10	adopt	
11	adopt	
12	adopt	
13	adopt	
14	adopt	
15	adopt	
16	adopt	
17	adopt	
18	adopt	
19	adopt	
20	adopt	
