slide_no	decision	memo
2	reject	まだ左2つと合っていない。 / アイコンはアイコン同士、ヘッダーはヘッダー同士、本文は本文同士で合っていることが求められる。 / 今回はいずれも2行なので、上揃え中央揃え下揃えいずれでも構わないが、 / 1行が混じるなら上揃え、3行が混じるなら下揃えなどの臨機応変さが必要。1行3行というのか今回特有。
13	reject	不要な改行が作られた。 / タグの縦位置が合っていない
20	reject	不要な改行が作られた
