slide_no	decision	memo
1	adopt	
2	reject	画像壊れ
3	adopt	
4	adopt	
5	adopt	
6	adopt	
7	reject	
8	adopt	
9	adopt	
10	adopt	
11	adopt	
12	adopt	
13	reject	
14	adopt	
15	adopt	
16	adopt	
17	adopt	
18	adopt	
19	adopt	
20	reject	
